"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Châtelet",1376484,"EM",0,"NON",-4,-2,"M","Non","POINT (1652096.2663000082 8184519.138100929)"
"Châtelet",1376521,"EM",0,"OUI",-2,-2,"M","Non","POINT (1652064.2803000067 8184535.122100931)"
"Châtelet",1376483,"EF",17,"OUI",-3,,,,"POINT (1652061.4671982154 8184538.677868386)"
"Châtelet",1376569,"EF",0,"NON",-4,,,,"POINT (1652073.513392458 8184590.972117503)"
"Châtelet",1376502,"EF",0,"NON",-4,,,,"POINT (1652084.4018879163 8184597.219598372)"
"Châtelet",1376544,"EF",20,"NON",-2,,,,"POINT (1652200.1207363042 8184369.009518017)"
"Châtelet",1376580,"EF",14,"OUI",-3,,,,"POINT (1652073.4702677352 8184518.394551078)"
"Châtelet",1376567,"EF",16,"OUI",-3,,,,"POINT (1652067.3405053406 8184519.297323269)"
"Châtelet",1376553,"EF",14,"OUI",-3,,,,"POINT (1652068.2403298877 8184521.022567641)"
"Châtelet",1376507,"EF",16,"OUI",-3,,,,"POINT (1652072.3116999902 8184516.804911438)"
"Châtelet",1376597,"EF",22,"NON",-5,,,,"POINT (1652036.188566832 8184646.188281705)"
"Châtelet",1376574,"EM",0,"NON",-5,-4,"M","Non","POINT (1652038.5494000097 8184637.366000932)"
"Châtelet",1376591,"EF",0,"NON",-5,,,,"POINT (1652038.9980903247 8184641.236415595)"
"Châtelet",1376585,"EF",0,"NON",-5,,,,"POINT (1652057.6824446372 8184654.733796703)"
"Châtelet",1376545,"EM",0,"NON",-5,-4,"M","Non","POINT (1652061.6806000106 8184652.487900931)"
"Châtelet",1376541,"EF",20,"NON",-5,,,,"POINT (1652055.377667496 8184658.771168007)"
"Châtelet",1376595,"EF",17,"NON",-3,,,,"POINT (1651994.509250235 8184556.806412253)"
"Châtelet",1376509,"EF",7,"NON",-3,,,,"POINT (1651991.3519891757 8184560.772936204)"
"Châtelet",1376486,"EF",7,"NON",-3,,,,"POINT (1651987.2176601803 8184562.773417767)"
"Châtelet",1376609,"EF",22,"OUI",-2,,,,"POINT (1652121.8241797646 8184391.621737089)"
"Châtelet",1376594,"EF",5,"OUI",-2,,,,"POINT (1652113.759855963 8184406.549759472)"
"Châtelet",1376573,"EF",19,"NON",-2,,,,"POINT (1652126.207880484 8184399.714856971)"
"Châtelet",1376515,"EM",0,"NON",-2,-2,"M","Non","POINT (1652122.913300008 8184402.7669009315)"
"Châtelet",1376527,"EM",0,"NON",-3,-2,"M","Non","POINT (1652093.9306000103 8184557.328700931)"
"Châtelet",1376498,"EF",20,"NON",-3,,,,"POINT (1652093.283813992 8184561.453331527)"
"Châtelet",1376596,"EF",20,"OUI",-2,,,,"POINT (1652196.9564427538 8184359.994286498)"
"Châtelet",1376531,"EF",0,"NON",-2,,,,"POINT (1652195.5100277157 8184358.78481986)"
"Châtelet",1376554,"EF",18,"NON",-3,,,,"POINT (1652019.6899940884 8184544.700001178)"
"Châtelet",1376561,"EF",5,"NON",-3,,,,"POINT (1652025.5041917134 8184542.734247859)"
"Châtelet",1376495,"EF",23,"OUI",-3,,,,"POINT (1652058.05679836 8184548.396647273)"
